From,Input,To
0,!,1
0,"""",2
0,(,3
0,),4
0,*,5
0,+,6
0,",",7
0,-,8
0,.,9
0,/,10
0,0,11
0,1,11
0,2,11
0,3,11
0,4,11
0,5,11
0,6,11
0,7,11
0,8,11
0,9,11
0,;,12
0,<,13
0,=,14
0,>,15
0,A,16
0,B,16
0,C,16
0,D,16
0,E,16
0,F,16
0,G,16
0,H,16
0,I,16
0,J,16
0,K,16
0,L,16
0,M,16
0,N,16
0,O,16
0,P,16
0,Q,16
0,R,16
0,S,16
0,T,16
0,U,16
0,V,16
0,W,16
0,X,16
0,Y,16
0,Z,16
0,[,17
0,],18
0,_,16
0,a,16
0,b,19
0,c,20
0,d,16
0,e,21
0,f,22
0,g,16
0,h,16
0,i,23
0,j,16
0,k,16
0,l,16
0,m,16
0,n,16
0,o,16
0,p,24
0,q,16
0,r,25
0,s,26
0,t,27
0,u,16
0,v,28
0,w,29
0,x,16
0,y,16
0,z,16
0,{,30
0,},31
11,.,32
11,0,11
11,1,11
11,2,11
11,3,11
11,4,11
11,5,11
11,6,11
11,7,11
11,8,11
11,9,11
16,0,33
16,1,33
16,2,33
16,3,33
16,4,33
16,5,33
16,6,33
16,7,33
16,8,33
16,9,33
16,A,16
16,B,16
16,C,16
16,D,16
16,E,16
16,F,16
16,G,16
16,H,16
16,I,16
16,J,16
16,K,16
16,L,16
16,M,16
16,N,16
16,O,16
16,P,16
16,Q,16
16,R,16
16,S,16
16,T,16
16,U,16
16,V,16
16,W,16
16,X,16
16,Y,16
16,Z,16
16,_,16
16,a,16
16,b,16
16,c,16
16,d,16
16,e,16
16,f,16
16,g,16
16,h,16
16,i,16
16,j,16
16,k,16
16,l,16
16,m,16
16,n,16
16,o,16
16,p,16
16,q,16
16,r,16
16,s,16
16,t,16
16,u,16
16,v,16
16,w,16
16,x,16
16,y,16
16,z,16
19,0,33
19,1,33
19,2,33
19,3,33
19,4,33
19,5,33
19,6,33
19,7,33
19,8,33
19,9,33
19,A,16
19,B,16
19,C,16
19,D,16
19,E,16
19,F,16
19,G,16
19,H,16
19,I,16
19,J,16
19,K,16
19,L,16
19,M,16
19,N,16
19,O,16
19,P,16
19,Q,16
19,R,16
19,S,16
19,T,16
19,U,16
19,V,16
19,W,16
19,X,16
19,Y,16
19,Z,16
19,_,16
19,a,16
19,b,16
19,c,16
19,d,16
19,e,16
19,f,16
19,g,16
19,h,16
19,i,16
19,j,16
19,k,16
19,l,16
19,m,16
19,n,16
19,o,16
19,p,16
19,q,16
19,r,34
19,s,16
19,t,16
19,u,16
19,v,16
19,w,16
19,x,16
19,y,16
19,z,16
20,0,33
20,1,33
20,2,33
20,3,33
20,4,33
20,5,33
20,6,33
20,7,33
20,8,33
20,9,33
20,A,16
20,B,16
20,C,16
20,D,16
20,E,16
20,F,16
20,G,16
20,H,16
20,I,16
20,J,16
20,K,16
20,L,16
20,M,16
20,N,16
20,O,16
20,P,16
20,Q,16
20,R,16
20,S,16
20,T,16
20,U,16
20,V,16
20,W,16
20,X,16
20,Y,16
20,Z,16
20,_,16
20,a,16
20,b,16
20,c,16
20,d,16
20,e,16
20,f,16
20,g,16
20,h,16
20,i,16
20,j,16
20,k,16
20,l,16
20,m,16
20,n,16
20,o,35
20,p,16
20,q,16
20,r,16
20,s,16
20,t,16
20,u,16
20,v,16
20,w,16
20,x,16
20,y,16
20,z,16
21,0,33
21,1,33
21,2,33
21,3,33
21,4,33
21,5,33
21,6,33
21,7,33
21,8,33
21,9,33
21,A,16
21,B,16
21,C,16
21,D,16
21,E,16
21,F,16
21,G,16
21,H,16
21,I,16
21,J,16
21,K,16
21,L,16
21,M,16
21,N,16
21,O,16
21,P,16
21,Q,16
21,R,16
21,S,16
21,T,16
21,U,16
21,V,16
21,W,16
21,X,16
21,Y,16
21,Z,16
21,_,16
21,a,16
21,b,16
21,c,16
21,d,16
21,e,16
21,f,16
21,g,16
21,h,16
21,i,16
21,j,16
21,k,16
21,l,36
21,m,16
21,n,16
21,o,16
21,p,16
21,q,16
21,r,16
21,s,16
21,t,16
21,u,16
21,v,16
21,w,16
21,x,16
21,y,16
21,z,16
22,0,33
22,1,33
22,2,33
22,3,33
22,4,33
22,5,33
22,6,33
22,7,33
22,8,33
22,9,33
22,A,16
22,B,16
22,C,16
22,D,16
22,E,16
22,F,16
22,G,16
22,H,16
22,I,16
22,J,16
22,K,16
22,L,16
22,M,16
22,N,16
22,O,16
22,P,16
22,Q,16
22,R,16
22,S,16
22,T,16
22,U,16
22,V,16
22,W,16
22,X,16
22,Y,16
22,Z,16
22,_,16
22,a,37
22,b,16
22,c,16
22,d,16
22,e,16
22,f,16
22,g,16
22,h,16
22,i,16
22,j,16
22,k,16
22,l,16
22,m,16
22,n,38
22,o,39
22,p,16
22,q,16
22,r,16
22,s,16
22,t,16
22,u,16
22,v,16
22,w,16
22,x,16
22,y,16
22,z,16
23,0,33
23,1,33
23,2,33
23,3,33
23,4,33
23,5,33
23,6,33
23,7,33
23,8,33
23,9,33
23,A,16
23,B,16
23,C,16
23,D,16
23,E,16
23,F,16
23,G,16
23,H,16
23,I,16
23,J,16
23,K,16
23,L,16
23,M,16
23,N,16
23,O,16
23,P,16
23,Q,16
23,R,16
23,S,16
23,T,16
23,U,16
23,V,16
23,W,16
23,X,16
23,Y,16
23,Z,16
23,_,16
23,a,16
23,b,16
23,c,16
23,d,16
23,e,16
23,f,40
23,g,16
23,h,16
23,i,16
23,j,16
23,k,16
23,l,16
23,m,16
23,n,16
23,o,16
23,p,16
23,q,16
23,r,16
23,s,16
23,t,16
23,u,16
23,v,16
23,w,16
23,x,16
23,y,16
23,z,16
24,0,33
24,1,33
24,2,33
24,3,33
24,4,33
24,5,33
24,6,33
24,7,33
24,8,33
24,9,33
24,A,16
24,B,16
24,C,16
24,D,16
24,E,16
24,F,16
24,G,16
24,H,16
24,I,16
24,J,16
24,K,16
24,L,16
24,M,16
24,N,16
24,O,16
24,P,16
24,Q,16
24,R,16
24,S,16
24,T,16
24,U,16
24,V,16
24,W,16
24,X,16
24,Y,16
24,Z,16
24,_,16
24,a,16
24,b,16
24,c,16
24,d,16
24,e,16
24,f,16
24,g,16
24,h,16
24,i,16
24,j,16
24,k,16
24,l,16
24,m,16
24,n,16
24,o,16
24,p,16
24,q,16
24,r,16
24,s,16
24,t,16
24,u,41
24,v,16
24,w,16
24,x,16
24,y,16
24,z,16
25,0,33
25,1,33
25,2,33
25,3,33
25,4,33
25,5,33
25,6,33
25,7,33
25,8,33
25,9,33
25,A,16
25,B,16
25,C,16
25,D,16
25,E,16
25,F,16
25,G,16
25,H,16
25,I,16
25,J,16
25,K,16
25,L,16
25,M,16
25,N,16
25,O,16
25,P,16
25,Q,16
25,R,16
25,S,16
25,T,16
25,U,16
25,V,16
25,W,16
25,X,16
25,Y,16
25,Z,16
25,_,16
25,a,16
25,b,16
25,c,16
25,d,16
25,e,42
25,f,16
25,g,16
25,h,16
25,i,16
