From,Input,To
35,v,15
0,.,22
36,e,38
42,e,43
33,.,34
0,_,6
36,t,54
55,u,56
6,A,6
6,B,6
6,C,6
6,D,6
6,E,6
6,F,6
6,G,6
6,H,6
6,I,6
6,J,6
6,K,6
6,L,6
6,M,6
6,N,6
6,O,6
6,P,6
6,Q,6
6,R,6
6,S,6
6,T,6
6,U,6
6,V,6
6,W,6
6,X,6
6,Y,6
6,Z,6
1,o,2
77,a,78
32,A,6
32,B,6
32,C,6
32,D,6
32,E,6
32,F,6
32,G,6
32,H,6
32,I,6
32,J,6
32,K,6
32,L,6
32,M,6
32,N,6
32,O,6
32,P,6
32,Q,6
32,R,6
32,S,6
32,T,6
32,U,6
32,V,6
32,W,6
32,X,6
32,Y,6
32,Z,6
36,f,39
3,s,4
2,n,3
35,r,25
47,i,48
0,0,33
0,1,33
0,2,33
0,3,33
0,4,33
0,5,33
0,6,33
0,7,33
0,8,33
0,9,33
11,n,12
8,u,9
35,f,11
0,],81
0,a,6
0,b,6
0,c,6
0,d,6
0,e,6
0,f,6
0,g,6
0,h,6
0,i,6
0,j,6
0,k,6
0,l,6
0,m,6
0,n,6
0,o,6
0,p,6
0,q,6
0,r,6
0,s,6
0,t,6
0,u,6
0,v,6
0,w,6
0,x,6
0,y,6
0,z,6
35,p,8
59,l,60
0,},20
70,i,71
0,=,7
0,{,19
36,b,75
0,<,67
16,i,17
41,s,42
36,s,69
54,r,55
15,o,16
17,d,18
29,n,30
27,u,28
36,f,58
78,k,79
60,s,61
0,[,80
36,i,37
46,h,47
49,e,50
6,0,32
6,1,32
6,2,32
6,3,32
6,4,32
6,5,32
6,6,32
6,7,32
6,8,32
6,9,32
76,e,77
32,a,6
32,b,6
32,c,6
32,d,6
32,e,6
32,f,6
32,g,6
32,h,6
32,i,6
32,j,6
32,k,6
32,l,6
32,m,6
32,n,6
32,o,6
32,p,6
32,q,6
32,r,6
32,s,6
32,t,6
32,u,6
32,v,6
32,w,6
32,x,6
32,y,6
32,z,6
32,0,32
32,1,32
32,2,32
32,3,32
32,4,32
32,5,32
32,6,32
32,7,32
32,8,32
32,9,32
33,0,33
33,1,33
33,2,33
33,3,33
33,4,33
33,5,33
33,6,33
33,7,33
33,8,33
33,9,33
34,0,34
34,1,34
34,2,34
34,3,34
34,4,34
34,5,34
34,6,34
34,7,34
34,8,34
34,9,34
6,a,6
6,b,6
6,c,6
6,d,6
6,e,6
6,f,6
6,g,6
6,h,6
6,i,6
6,j,6
6,k,6
6,l,6
6,m,6
6,n,6
6,o,6
6,p,6
6,q,6
6,r,6
6,s,6
6,t,6
6,u,6
6,v,6
6,w,6
6,x,6
6,y,6
6,z,6
0,,35
0,",",23
26,t,27
35,v,51
0,!,66
69,w,70
39,o,44
0,+,31
0,/,64
0,A,6
0,B,6
0,C,6
0,D,6
0,E,6
0,F,6
0,G,6
0,H,6
0,I,6
0,J,6
0,K,6
0,L,6
0,M,6
0,N,6
0,O,6
0,P,6
0,Q,6
0,R,6
0,S,6
0,T,6
0,U,6
0,V,6
0,W,6
0,X,6
0,Y,6
0,Z,6
0,*,65
35,c,1
75,r,76
38,l,41
0,-,63
52,r,53
32,_,6
37,f,40
72,c,73
25,e,26
6,_,6
44,r,45
36,w,46
0,>,68
9,b,10
0,),14
0,;,21
48,l,49
71,t,72
0,"""",24
61,e,62
58,a,59
56,e,57
28,r,29
0,,36
4,t,5
0,(,13
51,a,52
73,h,74
