From,Input,To
29,1,18
5,j,1
28,0,18
26,s,30
24,3,18
29,v,1
30,6,18
33,5,18
5,4,18
32,m,1
8,r,1
34,2,18
8,a,1
0,q,1
24,1,18
30,0,18
1,l,1
5,v,1
21,f,1
1,d,1
25,9,18
22,2,18
28,b,1
29,i,1
21,2,18
31,u,1
33,l,1
0,v,3
3,g,1
32,z,1
20,4,20
27,2,18
27,6,18
9,f,1
0,{,12
8,s,1
4,3,4
25,v,1
26,j,1
19,z,1
30,d,1
30,m,1
30,v,1
21,p,1
0,"""",15
0,i,1
1,i,1
16,o,1
29,e,1
1,t,1
8,0,18
19,t,1
24,4,18
32,1,18
34,7,18
26,c,1
32,w,1
22,g,1
0,o,1
29,8,18
24,8,18
8,y,1
28,j,1
19,j,1
8,d,1
16,z,1
19,x,1
24,k,1
0,0,4
22,y,1
18,t,1
0,2,4
8,x,1
16,d,1
23,m,1
1,e,1
0,x,1
26,v,1
26,o,1
28,5,18
29,k,1
29,6,18
28,k,1
26,w,1
22,r,1
28,u,31
31,e,1
23,d,1
27,f,1
32,0,18
18,7,18
27,3,18
3,x,1
33,x,1
19,p,1
5,n,1
5,w,1
21,d,1
23,o,1
26,k,1
30,z,1
16,6,18
21,i,1
23,5,18
24,5,18
30,c,1
33,z,1
19,e,1
34,w,1
30,r,1
1,f,1
19,o,1
26,2,18
20,9,20
22,z,1
22,e,1
29,h,1
27,9,18
9,p,1
8,4,18
22,m,1
5,g,1
22,n,1
22,a,1
3,d,1
18,2,18
4,9,4
22,f,1
8,7,18
21,r,1
18,1,18
26,p,1
0,3,4
19,q,1
23,f,1
26,e,1
27,k,1
26,7,18
3,p,1
22,d,1
24,r,1
21,s,1
25,1,18
29,0,18
5,6,18
30,o,1
0,s,1
5,9,18
4,1,4
3,f,1
19,i,25
30,g,1
3,h,1
20,5,20
5,x,1
30,q,1
30,1,18
9,s,1
30,f,1
31,f,1
23,3,18
31,9,18
32,x,1
23,g,1
29,r,1
33,m,1
16,p,1
21,7,18
19,n,1
1,4,18
5,f,1
19,y,1
19,b,1
27,7,18
9,d,1
28,s,1
31,p,1
0,+,10
22,l,1
9,n,1
9,q,1
23,h,1
27,i,1
29,5,18
0,t,1
0,7,4
21,8,18
1,g,1
30,k,1
16,m,1
19,3,18
24,c,1
22,3,18
1,7,18
25,b,1
29,u,1
29,t,1
8,9,18
1,h,1
25,0,18
0,w,1
16,a,1
19,4,18
22,w,1
3,4,18
5,3,18
9,x,1
5,1,18
18,r,1
26,l,1
26,1,18
27,y,1
27,t,1
24,b,1
30,a,1
31,t,1
33,4,18
34,o,1
34,x,1
16,1,18
32,a,1
32,e,1
4,0,4
32,f,1
24,u,1
34,k,1
34,6,18
26,f,1
33,b,1
31,v,1
23,4,18
23,7,18
23,z,1
33,j,1
33,1,18
34,b,1
32,i,1
34,y,1
18,i,1
27,g,1
31,7,18
16,0,18
20,8,20
25,j,1
9,j,1
5,s,1
3,k,1
18,3,18
0,l,1
3,q,1
8,3,18
23,b,27
21,4,18
9,k,1
25,h,1
16,q,1
5,u,1
23,1,18
0,(,6
0,z,1
18,a,1
0,m,1
19,l,1
26,i,1
25,r,1
28,z,1
21,0,18
34,s,1
9,e,1
19,1,18
21,q,1
29,w,1
30,8,18
19,g,1
30,t,32
31,6,18
28,2,18
5,e,1
32,j,1
34,t,1
25,z,1
18,x,1
19,d,1
26,3,18
20,2,20
5,7,18
29,g,1
1,z,1
21,b,1
25,t,1
26,y,1
24,e,1
25,g,1
16,h,1
26,m,1
24,g,1
26,n,1
8,m,1
0,f,8
16,3,18
0,.,11
5,t,1
8,h,1
1,j,1
0,",",17
27,h,1
30,w,1
32,k,1
32,b,1
33,h,1
34,5,18
0,),13
27,l,1
1,8,18
5,y,1
5,5,18
8,q,1
24,i,1
30,p,1
23,a,1
1,b,1
9,v,1
16,f,1
19,k,1
27,8,18
32,d,1
33,6,18
9,b,1
25,u,1
34,h,1
3,n,1
32,u,1
34,g,1
19,8,18
23,9,18
24,2,18
31,5,18
0,h,1
19,0,18
34,e,1
25,8,18
1,y,1
24,7,18
3,5,18
5,z,1
16,t,1
4,2,4
22,6,18
26,q,1
30,2,18
32,8,18
0,c,5
8,8,18
9,6,18
24,o,1
31,r,33
0,u,1
3,y,1
28,4,18
31,g,1
1,a,1
5,c,1
19,h,1
26,8,18
0,4,4
27,q,1
28,8,18
23,q,1
32,y,1
33,0,18
32,4,18
9,l,1
24,s,1
0,5,4
33,o,1
34,9,18
16,g,1
33,d,1
34,l,1
26,6,18
16,j,1
18,e,1
9,1,18
19,7,18
21,g,1
24,w,1
29,d,1
5,p,1
9,y,1
29,s,1
34,0,18
34,3,18
30,u,1
18,9,18
3,m,1
22,5,18
18,h,1
29,a,1
27,j,1
33,p,1
1,w,1
21,m,1
18,0,18
28,r,1
31,2,18
18,q,1
34,r,1
31,c,1
18,n,1
3,6,18
9,2,18
0,6,4
9,i,1
9,3,18
3,i,1
18,k,1
24,y,1
25,n,1
1,1,18
18,o,1
33,3,18
34,c,1
23,j,1
33,2,18
30,b,1
19,r,1
25,7,18
29,l,1
27,1,18
27,u,1
3,v,1
5,2,18
22,b,1
21,a,1
16,8,18
0,},14
28,e,1
28,d,1
21,j,1
5,d,1
21,l,1
18,6,18
9,w,1
5,h,1
1,c,1
25,3,18
1,r,1
27,d,1
30,j,1
32,h,1
16,r,1
28,g,1
